,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
59,118,  Halloween II,2009,4.8,/title/tt1311067/,15000000.0,39421467.0,24421467.0,2009-08-28,8.0
60,119,  The Thaw,2009,5.2,/title/tt1235448/,,149857.0,,2010-09-29,9.0
61,120,  Night of the Demons,2009,4.6,/title/tt1268809/,10000000.0,64040.0,-9935960.0,2011-05-26,5.0
62,121,  The Human Centipede (First Sequence),2009,4.4,/title/tt1467304/,1560000.0,325113.0,-1234887.0,2010-04-28,4.0
63,122,  Heartless (I),2009,5.9,/title/tt1220214/,5000000.0,20435.0,-4979565.0,2010-11-19,11.0
64,123,  [Rec]²,2009,6.5,/title/tt1245112/,5600000.0,18853164.0,13253164.0,2009-10-02,10.0
65,124,  Survival of the Dead,2009,4.8,/title/tt1134854/,4000000.0,386078.0,-3613922.0,2010-05-06,5.0
66,125,  Sorority Row,2009,5.1,/title/tt1232783/,12500000.0,27206120.0,14706120.0,2009-09-11,9.0
67,126,  Jennifer's Body,2009,5.4,/title/tt1131734/,16000000.0,31556061.0,15556061.0,2009-09-18,9.0
68,127,  Daybreakers,2009,6.4,/title/tt0433362/,20000000.0,51417188.0,31417188.0,2010-01-08,1.0
69,128,  The Loved Ones,2009,6.6,/title/tt1316536/,,358399.0,,2010-11-04,11.0
70,129,  Solomon Kane,2009,6.1,/title/tt0970452/,45000000.0,19652185.0,-25347815.0,2012-08-24,8.0
71,130,  Blood Creek,2009,5.3,/title/tt0450336/,,211398.0,,2009-10-09,10.0
72,131,  Amer,2009,6.1,/title/tt1426352/,915200.0,,,2010-03-03,3.0
73,132,  Zombieland,2009,7.6,/title/tt1156398/,23600000.0,102392080.0,78792080.0,2009-10-02,10.0
74,133,  Pandorum,2009,6.7,/title/tt1188729/,33000000.0,20648328.0,-12351672.0,2009-09-25,9.0
75,134,  Wake Wood,2009,5.5,/title/tt1296899/,,10342.0,,2011-03-25,3.0
76,135,  Deadline (I),2009,4.6,/title/tt1242618/,1800000.0,,,2010-01-29,1.0
77,136,  Splice,2009,5.8,/title/tt1017460/,30000000.0,27127620.0,-2872380.0,2010-06-04,6.0
78,137,  Where the Wild Things Are,2009,6.7,/title/tt0386117/,100000000.0,100140916.0,140916.0,2009-10-16,10.0
79,138,  Stan Helsing,2009,3.5,/title/tt1185266/,,1475003.0,,2010-03-25,3.0
80,139,  Saw VI,2009,6.0,/title/tt1233227/,11000000.0,68234154.0,57234154.0,2009-10-23,10.0
81,140,  The Fourth Kind,2009,5.9,/title/tt1220198/,10000000.0,47719794.0,37719794.0,2009-11-06,11.0
82,141,  Nine Dead,2009,5.4,/title/tt0959329/,2000000.0,,,2009-11-06,11.0
83,142,  The New Daughter,2009,5.3,/title/tt0951335/,15000000.0,579626.0,-14420374.0,2010-10-07,10.0
84,143,  Rammbock: Berlin Undead,2010,6.3,/title/tt1583356/,,12699.0,,2011-05-04,5.0
85,144,  Legion,2010,5.2,/title/tt1038686/,26000000.0,67918658.0,41918658.0,2010-01-22,1.0
86,145,  7 Days,2010,6.5,/title/tt0445054/,2550000.0,1259.0,-2548741.0,2010-11-12,11.0
87,146,  Tucker and Dale vs Evil,2010,7.5,/title/tt1465522/,,5224938.0,,2010-12-09,12.0
88,147,  Where? Wolf?,2010,2.9,/title/tt1570619/,,5073304.0,,2010-01-22,1.0
89,148,  YellowBrickRoad,2010,4.7,/title/tt1398428/,500000.0,,,2010-01-23,1.0
90,149,  The Wolfman,2010,5.8,/title/tt0780653/,150000000.0,139789765.0,-10210235.0,2010-02-12,2.0
